score,item,framing,is_para
0.68,6,1,0
0.73,6,1,0
0.72,6,8,0
0.7,6,8,0
0.7,6,3,0
0.73,6,3,0
0.73,6,2,0
0.73,6,2,0
0.66,6,4,1
0.7,6,4,1
0.64,6,5,1
0.62,6,5,1
0.68,6,6,1
0.7,6,6,1
0.72,6,7,1
0.72,6,7,1
1.85,7,1,0
1.86,7,1,0
1.88,7,8,0
1.87,7,8,0
1.82,7,3,0
1.84,7,3,0
1.92,7,2,0
1.9,7,2,0
1.86,7,4,1
1.86,7,4,1
1.83,7,5,1
1.87,7,5,1
1.92,7,6,1
1.91,7,6,1
1.85,7,7,1
1.85,7,7,1
1.22,8,1,0
1.22,8,1,0
1.25,8,8,0
1.29,8,8,0
1.13,8,3,0
1.15,8,3,0
1.24,8,2,0
1.29,8,2,0
1.24,8,4,1
1.35,8,4,1
1.37,8,5,1
1.33,8,5,1
1.32,8,6,1
1.18,8,6,1
1.23,8,7,1
1.27,8,7,1
1.98,9,1,0
1.98,9,1,0
1.98,9,8,0
1.99,9,8,0
1.98,9,3,0
1.98,9,3,0
1.99,9,2,0
1.99,9,2,0
1.96,9,4,1
1.97,9,4,1
1.98,9,5,1
1.96,9,5,1
2.01,9,6,1
1.99,9,6,1
2,9,7,1
1.99,9,7,1
1.27,10,1,0
1.25,10,1,0
1.28,10,8,0
1.23,10,8,0
1.32,10,3,0
1.34,10,3,0
1.29,10,2,0
1.27,10,2,0
1.36,10,4,1
1.33,10,4,1
1.3,10,5,1
1.28,10,5,1
1.33,10,6,1
1.28,10,6,1
1.36,10,7,1
1.31,10,7,1
1.21,11,1,0
1.2,11,1,0
1.23,11,8,0
1.27,11,8,0
1.19,11,3,0
1.11,11,3,0
1.23,11,2,0
1.18,11,2,0
1.22,11,4,1
1.21,11,4,1
1.12,11,5,1
1.15,11,5,1
0.97,11,6,1
0.95,11,6,1
1.31,11,7,1
1.32,11,7,1
2.05,12,1,0
2.05,12,1,0
2.05,12,8,0
2.04,12,8,0
2.05,12,3,0
2.05,12,3,0
2.07,12,2,0
2.07,12,2,0
2.05,12,4,1
2.04,12,4,1
2.04,12,5,1
2.04,12,5,1
2.07,12,6,1
2.06,12,6,1
2.04,12,7,1
2.04,12,7,1
1.1,13,1,0
1.09,13,1,0
1.08,13,8,0
1.05,13,8,0
1.13,13,3,0
1.11,13,3,0
1.07,13,2,0
1.09,13,2,0
1.06,13,4,1
1.1,13,4,1
1.05,13,5,1
1.07,13,5,1
0.9,13,6,1
0.85,13,6,1
1.17,13,7,1
1.22,13,7,1
2.04,14,1,0
2.03,14,1,0
2.05,14,8,0
2.03,14,8,0
2.02,14,3,0
2.03,14,3,0
2.07,14,2,0
2.05,14,2,0
2.06,14,4,1
2.08,14,4,1
2.02,14,5,1
2.04,14,5,1
2.08,14,6,1
2.05,14,6,1
2.02,14,7,1
2,14,7,1
1.15,1,1,0
1.11,1,1,0
1.15,1,8,0
1.13,1,8,0
1.13,1,3,0
1.14,1,3,0
1.15,1,2,0
1.15,1,2,0
1.16,1,4,1
1.2,1,4,1
1.15,1,5,1
1.13,1,5,1
1.13,1,6,1
1.13,1,6,1
1.2,1,7,1
1.19,1,7,1
2.14,2,1,0
2.09,2,1,0
2.11,2,8,0
2.08,2,8,0
2.3,2,3,0
2.28,2,3,0
2.09,2,2,0
2.11,2,2,0
2.08,2,4,1
2.09,2,4,1
2.13,2,5,1
2.15,2,5,1
2.07,2,6,1
2.06,2,6,1
2.09,2,7,1
2.07,2,7,1
1.85,3,1,0
1.87,3,1,0
1.88,3,8,0
1.87,3,8,0
1.87,3,3,0
1.85,3,3,0
1.9,3,2,0
1.91,3,2,0
1.88,3,4,1
1.88,3,4,1
1.87,3,5,1
1.84,3,5,1
1.92,3,6,1
1.93,3,6,1
1.87,3,7,1
1.87,3,7,1
1.95,4,1,0
1.95,4,1,0
1.96,4,8,0
1.95,4,8,0
1.91,4,3,0
1.91,4,3,0
1.96,4,2,0
1.96,4,2,0
1.95,4,4,1
1.96,4,4,1
1.96,4,5,1
1.96,4,5,1
1.94,4,6,1
1.94,4,6,1
1.97,4,7,1
1.97,4,7,1
2.03,5,1,0
2.03,5,1,0
2.04,5,8,0
2,5,8,0
2,5,3,0
1.99,5,3,0
2.02,5,2,0
2,5,2,0
2,5,4,1
2.01,5,4,1
1.99,5,5,1
1.95,5,5,1
1.99,5,6,1
1.99,5,6,1
2.01,5,7,1
2.02,5,7,1
